# wavenlength / nm,    wavenumber / cm-1,  norm. absorbance
6.450338134999999511e+02,1.550306323592445423e+01,5.742139475629234185e-03
6.440079955999999584e+02,1.552775752525144703e+01,4.143318575152851561e-03
6.429819336000000476e+02,1.555253651375687696e+01,5.680918211823142439e-03
6.419555663999999524e+02,1.557740211846537726e+01,3.683371631590092246e-03
6.409288940000000139e+02,1.560235479101368128e+01,3.580944473761718625e-03
6.400486449999999650e+02,1.562381246819138347e+01,4.403576791991130855e-03
6.390214233000000377e+02,1.564892761866814830e+01,3.076022989863371696e-03
6.379938353999999663e+02,1.567413264068664169e+01,4.744786162947101094e-03
6.369660033999999769e+02,1.569942500325285017e+01,4.260555485326615772e-03
6.359378662000000304e+02,1.572480666979977926e+01,1.257926088392736846e-03
6.350563353999999663e+02,1.574663449928634584e+01,2.471461435379292398e-03
6.340276489000000311e+02,1.577218283358683237e+01,5.120332267775468474e-03
6.329986572000000251e+02,1.579782182198284701e+01,2.768352064513454874e-03
6.319693604000000278e+02,1.582355194193367076e+01,4.599510716646427327e-03
6.309397582999999941e+02,1.584937368179798156e+01,4.015325536722141701e-03
6.300570067999999537e+02,1.587157970163534237e+01,2.988178509366975870e-03
6.290268555000000106e+02,1.589757243679399679e+01,3.834439517415928495e-03
6.279963989000000311e+02,1.592365818898965557e+01,5.669033252185908846e-03
6.269656371999999465e+02,1.594983744987930407e+01,2.897422830423004858e-03
6.259346312999999782e+02,1.597610916531500891e+01,4.257641265451692254e-03
6.250506592000000410e+02,1.599870322958936164e+01,5.714676936177311584e-04
6.240190430000000106e+02,1.602515197601109165e+01,4.888323865539794975e-04
6.229871825999999828e+02,1.605169460833141670e+01,2.973673118468484616e-04
6.219550170999999636e+02,1.607833319944449713e+01,2.171955739682532053e-05
6.210700683999999683e+02,1.610124285293926505e+01,4.714968281180253497e-03
6.200372925000000350e+02,1.612806216813160276e+01,4.876615316431958704e-03
6.190043335000000297e+02,1.615497575510915240e+01,3.573772463311105426e-03
6.179710082999999941e+02,1.618198890512579524e+01,3.528499602653326593e-03
6.169373779000000013e+02,1.620910056388398957e+01,2.947842400633346373e-03
6.160512085000000297e+02,1.623241682188827184e+01,3.753525370377039545e-03
6.150170898000000079e+02,1.625971077202414250e+01,2.734740612468910485e-03
6.139826659999999947e+02,1.628710475679780956e+01,2.974284862789631622e-03
6.129479370000000245e+02,1.631459932623934961e+01,4.562520068423383743e-03
6.120607909999999947e+02,1.633824637526895529e+01,3.902130670949471511e-03
6.110255736999999954e+02,1.636592710751216018e+01,4.953069770964682768e-03
6.099899901999999656e+02,1.639371163569628109e+01,3.212275583916179844e-03
6.089541626000000178e+02,1.642159724683356714e+01,9.345023041121241873e-04
6.080661010999998553e+02,1.644558047539545953e+01,4.135472890202892583e-03
6.070297240999999531e+02,1.647365788360082917e+01,4.099383495784660568e-03
6.059931030000000192e+02,1.650183797553880538e+01,7.078935905325915538e-03
