# wavenlength / nm,    wavenumber / 10^3 cm-1,  extinction coefficient / M-1 s-1
6.920000000000000000e+02,1.445086705202312061e+01,2.520695250481695382e+01
6.910000000000000000e+02,1.447178002894355942e+01,2.505846666666666422e+01
6.900000000000000000e+02,1.449275362318840621e+01,2.603961589595375514e+01
6.890000000000000000e+02,1.451378809869375885e+01,2.590178373795760791e+01
6.880000000000000000e+02,1.453488372093023173e+01,2.655600464354527901e+01
6.870000000000000000e+02,1.455604075691412014e+01,2.747783275529864966e+01
6.860000000000000000e+02,1.457725947521865884e+01,2.748381188824662757e+01
6.850000000000000000e+02,1.459854014598540140e+01,2.833613175337186618e+01
6.840000000000000000e+02,1.461988304093567237e+01,2.903584032755298594e+01
6.830000000000000000e+02,1.464128843338213848e+01,2.984658263969171088e+01
6.820000000000000000e+02,1.466275659824046862e+01,3.068470657032755255e+01
6.810000000000000000e+02,1.468428781204111466e+01,3.127961173410404783e+01
6.800000000000000000e+02,1.470588235294117574e+01,3.139207745664739591e+01
6.790000000000000000e+02,1.472754050073637622e+01,3.125175460500963354e+01
6.780000000000000000e+02,1.474926253687315558e+01,3.149041722543352506e+01
6.770000000000000000e+02,1.477104874446085780e+01,3.182608096339113501e+01
6.760000000000000000e+02,1.479289940828402372e+01,3.188006895953757436e+01
6.750000000000000000e+02,1.481481481481481488e+01,3.146131473988438998e+01
6.740000000000000000e+02,1.483679525222551909e+01,3.187545720616569866e+01
6.730000000000000000e+02,1.485884101040118743e+01,3.123746714836223148e+01
6.720000000000000000e+02,1.488095238095237960e+01,3.135339616570326982e+01
6.710000000000000000e+02,1.490312965722801763e+01,3.017962107899807123e+01
6.700000000000000000e+02,1.492537313432835866e+01,2.960342670520231323e+01
6.690000000000000000e+02,1.494768310911808662e+01,2.909445082851637565e+01
6.680000000000000000e+02,1.497005988023952128e+01,2.815794408477841770e+01
6.670000000000000000e+02,1.499250374812593734e+01,2.785752346820808967e+01
6.660000000000000000e+02,1.501501501501501501e+01,2.745216664739884393e+01
6.650000000000000000e+02,1.503759398496240607e+01,2.783251593448940042e+01
6.640000000000000000e+02,1.506024096385542244e+01,2.713592431599229116e+01
6.630000000000000000e+02,1.508295625942684914e+01,2.660836687861271699e+01
6.620000000000000000e+02,1.510574018126888163e+01,2.687078988439306215e+01
6.610000000000000000e+02,1.512859304084720158e+01,2.719363044315992184e+01
6.600000000000000000e+02,1.515151515151515227e+01,2.653865406551059536e+01
6.590000000000000000e+02,1.517450682852807375e+01,2.608685134874759015e+01
6.580000000000000000e+02,1.519756838905774998e+01,2.601008273603082444e+01
6.570000000000000000e+02,1.522070015220700157e+01,2.617803662813102150e+01
6.560000000000000000e+02,1.524390243902439046e+01,2.668107104046242739e+01
6.550000000000000000e+02,1.526717557251908453e+01,2.618668231213872488e+01
6.540000000000000000e+02,1.529051987767584109e+01,2.624457863198458440e+01
6.530000000000000000e+02,1.531393568147013795e+01,2.681259210019267769e+01
6.520000000000000000e+02,1.533742331288343586e+01,2.668889666666666471e+01
6.510000000000000000e+02,1.536098310291858660e+01,2.678895371868978614e+01
6.500000000000000000e+02,1.538461538461538503e+01,2.661361745664739686e+01
6.490000000000000000e+02,1.540832049306625606e+01,2.705725716763005551e+01
6.480000000000000000e+02,1.543209876543209802e+01,2.684761448940269446e+01
6.470000000000000000e+02,1.545595054095826804e+01,2.686769982658959321e+01
6.460000000000000000e+02,1.547987616099071317e+01,2.679956254335260013e+01
6.450000000000000000e+02,1.550387596899224718e+01,2.745180597302504566e+01
6.440000000000000000e+02,1.552795031055900488e+01,2.699307129094411906e+01
6.430000000000000000e+02,1.555209953343701379e+01,2.692672666666666714e+01
6.420000000000000000e+02,1.557632398753893987e+01,2.701625026974951638e+01
6.410000000000000000e+02,1.560062402496099843e+01,2.710650780346820454e+01
6.400000000000000000e+02,1.562500000000000000e+01,2.764206134874758902e+01
6.390000000000000000e+02,1.564945226917057930e+01,2.694877156069363977e+01
6.380000000000000000e+02,1.567398119122256972e+01,2.678900576107899667e+01
6.370000000000000000e+02,1.569858712715855731e+01,2.742835603082851392e+01
6.360000000000000000e+02,1.572327044025157328e+01,2.744520776493255809e+01
6.350000000000000000e+02,1.574803149606299257e+01,2.726066591522157978e+01
6.340000000000000000e+02,1.577287066246056746e+01,2.741794458574180737e+01
6.330000000000000000e+02,1.579778830963665115e+01,2.749113146435452393e+01
6.320000000000000000e+02,1.582278481012658133e+01,2.776997017341040319e+01
6.310000000000000000e+02,1.584786053882725909e+01,2.776223786127167514e+01
6.300000000000000000e+02,1.587301587301587347e+01,2.762932789980731840e+01
6.290000000000000000e+02,1.589825119236884099e+01,2.818450921001926801e+01
6.280000000000000000e+02,1.592356687898089262e+01,2.784473616570327081e+01
6.270000000000000000e+02,1.594896331738437034e+01,2.827122807321772413e+01
6.260000000000000000e+02,1.597444089456868888e+01,2.832545294797687774e+01
6.250000000000000000e+02,1.600000000000000000e+01,2.802631356454720191e+01
6.240000000000000000e+02,1.602564102564102555e+01,2.876385643545279081e+01
6.230000000000000000e+02,1.605136436597110716e+01,2.829955177263969190e+01
6.220000000000000000e+02,1.607717041800643187e+01,2.839541697495182859e+01
6.210000000000000000e+02,1.610305958132045134e+01,2.887892772639691330e+01
6.200000000000000000e+02,1.612903225806451601e+01,2.896654560693641400e+01
6.190000000000000000e+02,1.615508885298869401e+01,2.873980177263969082e+01
6.180000000000000000e+02,1.618122977346278546e+01,2.871894840077071009e+01
6.170000000000000000e+02,1.620745542949756768e+01,2.912058169556840070e+01
6.160000000000000000e+02,1.623376623376623584e+01,2.943958928709055911e+01
6.150000000000000000e+02,1.626016260162601768e+01,2.999793780346820427e+01
6.140000000000000000e+02,1.628664495114006527e+01,2.928089658959537545e+01
6.130000000000000000e+02,1.631321370309951035e+01,2.892012842003853379e+01
6.120000000000000000e+02,1.633986928104575043e+01,2.962177142581888134e+01
6.110000000000000000e+02,1.636661211129296234e+01,2.972667529865124791e+01
6.100000000000000000e+02,1.639344262295081833e+01,3.001975479768785959e+01
6.090000000000000000e+02,1.642036124794745433e+01,3.005459955684007411e+01
6.080000000000000000e+02,1.644736842105263008e+01,3.025677190751445167e+01
6.070000000000000000e+02,1.647446457990115221e+01,3.051372364161849404e+01
6.060000000000000000e+02,1.650165016501650328e+01,3.043928961464354188e+01
6.050000000000000000e+02,1.652892561983470898e+01,3.057973090558766671e+01
6.040000000000000000e+02,1.655629139072847522e+01,3.085950092485548879e+01
6.030000000000000000e+02,1.658374792703151002e+01,3.061863470134874277e+01
6.020000000000000000e+02,1.661129568106312249e+01,3.062096391136801188e+01
6.010000000000000000e+02,1.663893510815307764e+01,3.048180743737957243e+01
6.000000000000000000e+02,1.666666666666666785e+01,3.064233227360307765e+01
5.990000000000000000e+02,1.669449081803005086e+01,3.157862190751445297e+01
5.980000000000000000e+02,1.672240802675585414e+01,2.992447996146434974e+01
5.970000000000000000e+02,1.675041876046901024e+01,3.047275620423891951e+01
5.960000000000000000e+02,1.677852348993288700e+01,3.064543668593448444e+01
5.950000000000000000e+02,1.680672268907563094e+01,3.102439346820808908e+01
5.940000000000000000e+02,1.683501683501683388e+01,3.044994508670520261e+01
5.930000000000000000e+02,1.686340640809443414e+01,3.083409142581887963e+01
5.920000000000000000e+02,1.689189189189189122e+01,3.078358466281309802e+01
5.910000000000000000e+02,1.692047377326565183e+01,3.106999418111753286e+01
5.900000000000000000e+02,1.694915254237288238e+01,3.088330616570327081e+01
5.890000000000000000e+02,1.697792869269948923e+01,3.115297699421964950e+01
5.880000000000000000e+02,1.700680272108843383e+01,3.136965394990366107e+01
5.870000000000000000e+02,1.703577512776831426e+01,3.176945510597302302e+01
5.860000000000000000e+02,1.706484641638225241e+01,3.161176909441232752e+01
5.850000000000000000e+02,1.709401709401709368e+01,3.200287433526010972e+01
5.840000000000000000e+02,1.712328767123287676e+01,3.187551104046242401e+01
5.830000000000000000e+02,1.715265866209262313e+01,3.188794302504816613e+01
5.820000000000000000e+02,1.718213058419243922e+01,3.197256238921001525e+01
5.810000000000000000e+02,1.721170395869190983e+01,3.184706531791907125e+01
5.800000000000000000e+02,1.724137931034482563e+01,3.239183341040462238e+01
5.790000000000000000e+02,1.727115716753022312e+01,3.255127080924855676e+01
5.780000000000000000e+02,1.730103806228373742e+01,3.281152073217725729e+01
5.770000000000000000e+02,1.733102253032928886e+01,3.273314608863198316e+01
5.760000000000000000e+02,1.736111111111111072e+01,3.293212969171483451e+01
5.750000000000000000e+02,1.739130434782608603e+01,3.293949772639691531e+01
5.740000000000000000e+02,1.742160278745644675e+01,3.343514078998073558e+01
5.730000000000000000e+02,1.745200698080279267e+01,3.299687724470134498e+01
5.720000000000000000e+02,1.748251748251748339e+01,3.377630990366088071e+01
5.710000000000000000e+02,1.751313485113835355e+01,3.296574703275529572e+01
5.700000000000000000e+02,1.754385964912280826e+01,3.391466605009633639e+01
5.690000000000000000e+02,1.757469244288224886e+01,3.543387387283236478e+01
5.680000000000000000e+02,1.760563380281690016e+01,3.574389842003852635e+01
5.670000000000000000e+02,1.763668430335096815e+01,3.522342368015413427e+01
5.660000000000000000e+02,1.766784452296819907e+01,3.540431919075143696e+01
5.650000000000000000e+02,1.769911504424778670e+01,3.549007263969171788e+01
5.640000000000000000e+02,1.773049645390070950e+01,3.579033175337186634e+01
5.630000000000000000e+02,1.776198934280639463e+01,3.625448928709055707e+01
5.620000000000000000e+02,1.779359430604982251e+01,3.691174822736030592e+01
5.610000000000000000e+02,1.782531194295900079e+01,3.706136277456647576e+01
5.600000000000000000e+02,1.785714285714285765e+01,3.787574784200384670e+01
5.590000000000000000e+02,1.788908765652951871e+01,3.895721971098265612e+01
5.580000000000000000e+02,1.792114695340501740e+01,3.980028375722542933e+01
5.570000000000000000e+02,1.795332136445242455e+01,4.047384352601156365e+01
5.560000000000000000e+02,1.798561151079136877e+01,4.173382069364161850e+01
5.550000000000000000e+02,1.801801801801801872e+01,4.323227385356454278e+01
5.540000000000000000e+02,1.805054151624548808e+01,4.408049876685934265e+01
5.530000000000000000e+02,1.808318264014466337e+01,4.666347078998072817e+01
5.520000000000000000e+02,1.811594202898550776e+01,4.846030246628130556e+01
5.510000000000000000e+02,1.814882032667876643e+01,5.183710944123313880e+01
5.500000000000000000e+02,1.818181818181818343e+01,5.469822211946050317e+01
5.490000000000000000e+02,1.821493624772313424e+01,5.824224726396916907e+01
5.480000000000000000e+02,1.824817518248175219e+01,6.240402458574180145e+01
5.470000000000000000e+02,1.828153564899451666e+01,6.539226726396917400e+01
5.460000000000000000e+02,1.831501831501831390e+01,6.921007971098265443e+01
5.450000000000000000e+02,1.834862385321100930e+01,7.262386684007707061e+01
5.440000000000000000e+02,1.838235294117647101e+01,7.462116077071290476e+01
5.430000000000000000e+02,1.841620626151012985e+01,7.563404495183044673e+01
5.420000000000000000e+02,1.845018450184501901e+01,7.533551926782273256e+01
5.410000000000000000e+02,1.848428835489833588e+01,7.414362017341039746e+01
5.400000000000000000e+02,1.851851851851851904e+01,7.201998938342966028e+01
5.390000000000000000e+02,1.855287569573284046e+01,6.950041549132947694e+01
5.380000000000000000e+02,1.858736059479553759e+01,6.750631568400770277e+01
5.370000000000000000e+02,1.862197392923649986e+01,6.594469408477841910e+01
5.360000000000000000e+02,1.865671641791044877e+01,6.425095747591521445e+01
5.350000000000000000e+02,1.869158878504672927e+01,6.391086502890173193e+01
5.340000000000000000e+02,1.872659176029962680e+01,6.245824585741810608e+01
5.330000000000000000e+02,1.876172607879924925e+01,6.175592454720615621e+01
5.320000000000000000e+02,1.879699248120300581e+01,6.050668901734103855e+01
5.310000000000000000e+02,1.883239171374764354e+01,5.896191375722543171e+01
5.300000000000000000e+02,1.886792452830188793e+01,5.823054023121386535e+01
5.290000000000000000e+02,1.890359168241965904e+01,5.750936637764932158e+01
5.280000000000000000e+02,1.893939393939394122e+01,5.632694558766858961e+01
5.270000000000000000e+02,1.897533206831119656e+01,5.564791992292870049e+01
5.260000000000000000e+02,1.901140684410646386e+01,5.569787038535644541e+01
5.250000000000000000e+02,1.904761904761904745e+01,5.561156423892099809e+01
5.240000000000000000e+02,1.908396946564885255e+01,5.524709949903660799e+01
5.230000000000000000e+02,1.912045889101338503e+01,5.559754595375721919e+01
5.220000000000000000e+02,1.915708812260536220e+01,5.593688832369942077e+01
5.210000000000000000e+02,1.919385796545105549e+01,5.581782258188824386e+01
5.200000000000000000e+02,1.923076923076923350e+01,5.670394281310211682e+01
5.190000000000000000e+02,1.926782273603082984e+01,5.697341624277456162e+01
5.180000000000000000e+02,1.930501930501930374e+01,5.770823514450867009e+01
5.170000000000000000e+02,1.934235976789168276e+01,5.878168579961463536e+01
5.160000000000000000e+02,1.937984496124030898e+01,5.946213267822735560e+01
5.150000000000000000e+02,1.941747572815533829e+01,6.143509021194604003e+01
5.140000000000000000e+02,1.945525291828793968e+01,6.192030389210018626e+01
5.130000000000000000e+02,1.949317738791422983e+01,6.301024917148361482e+01
5.120000000000000000e+02,1.953125000000000000e+01,6.481405770712909487e+01
