# wavenlength / nm,  wavenumber / cm-1,  norm. intensity for wavelength, norm. intensity for wavenumber
4.835000000000000000e+02,2.068252326783867545e+01,3.019396320035850289e-06,7.058510713765008271e-01
4.839999999999999432e+02,2.066115702479338978e+01,2.956030905146935157e-06,6.924679757161003035e-01
4.844999999999999432e+02,2.063983488132095090e+01,2.930090830969831649e-06,6.878102541845658724e-01
4.849999999999999432e+02,2.061855670103092919e+01,2.899526413133508416e-06,6.820411005293293139e-01
4.855000000000000568e+02,2.059732234809474605e+01,2.815400125201251747e-06,6.636186673612185505e-01
4.859999999999999432e+02,2.057613168724279973e+01,2.779518430762982258e-06,6.565111352724931626e-01
4.865000000000000000e+02,2.055498458376156279e+01,2.778498475985967346e-06,6.576212709179297677e-01
4.869999999999999432e+02,2.053388090349076123e+01,2.721946511517811557e-06,6.455613321901676471e-01
4.874999999999999432e+02,2.051282051282051455e+01,2.656744178561296408e-06,6.313918586862079518e-01
4.880000000000000000e+02,2.049180327868852558e+01,2.653852883603544843e-06,6.319991411128825787e-01
4.885000000000000000e+02,2.047082906857727735e+01,2.636600751255568643e-06,6.291779696238066766e-01
4.890000000000000000e+02,2.044989775051124781e+01,2.567394669021934142e-06,6.139179806511939619e-01
4.894999999999999432e+02,2.042900919305413865e+01,2.548611379485955430e-06,6.106734097914745529e-01
4.900000000000000000e+02,2.040816326530612201e+01,2.523099727651753310e-06,6.057962446091860187e-01
4.904999999999999432e+02,2.038735983690112263e+01,2.502935767190422789e-06,6.021819419622854719e-01
4.910000000000000568e+02,2.036659877800407159e+01,2.496691010208678381e-06,6.019047654321185714e-01
4.914999999999999432e+02,2.034587995930824178e+01,2.476988137227687345e-06,5.983715975334010784e-01
4.920000000000000000e+02,2.032520325203251943e+01,2.450686633061059851e-06,5.932230091452923570e-01
4.925000000000000000e+02,2.030456852791878219e+01,2.401259822046995439e-06,5.824405777113865756e-01
4.930000000000000000e+02,2.028397565922920975e+01,2.433604624305043800e-06,5.914851703327166366e-01
4.934999999999999432e+02,2.026342451874366901e+01,2.390032515303738695e-06,5.820738963502317675e-01
4.940000000000000000e+02,2.024291497975708509e+01,2.361406591073338907e-06,5.762682188591733423e-01
4.945000000000000000e+02,2.022244691607684430e+01,2.335835919206065861e-06,5.711825412824390602e-01
4.950000000000000568e+02,2.020202020202020066e+01,2.311506964112789718e-06,5.663769938817364569e-01
4.955000000000000568e+02,2.018163471241170370e+01,2.295777542631179053e-06,5.636598762111928451e-01
4.960000000000000000e+02,2.016129032258064413e+01,2.281627063333860912e-06,5.613167636131430882e-01
4.965000000000000000e+02,2.014098690835851002e+01,2.293363874781055818e-06,5.653422888409963543e-01
4.970000000000000568e+02,2.012072434607645732e+01,2.276348701576980286e-06,5.622786164278285037e-01
4.974999999999999432e+02,2.010050251256281584e+01,2.252572706068677566e-06,5.575258233314105416e-01
4.980000000000000000e+02,2.008032128514056325e+01,2.255288452406784043e-06,5.593205573506920825e-01
4.985000000000000000e+02,2.006018054162487374e+01,2.223497950426531434e-06,5.525442435513815420e-01
4.990000000000000000e+02,2.004008016032064177e+01,2.203979034590104094e-06,5.487929835919704846e-01
4.995000000000000000e+02,2.002002002002002001e+01,2.170376623319586393e-06,5.415095101123926780e-01
5.000000000000000000e+02,2.000000000000000000e+01,2.142240681296076217e-06,5.355601703240190359e-01
5.005000000000000568e+02,1.998001998001997848e+01,2.120541177276689708e-06,5.311960950431051653e-01
5.009999999999999432e+02,1.996007984031936289e+01,2.061256833859267566e-06,5.173775265555099478e-01
5.015000000000000000e+02,1.994017946161515553e+01,2.087273872522894183e-06,5.249540753057210241e-01
5.020000000000000000e+02,1.992031872509960166e+01,2.060286111119351292e-06,5.192003411465210272e-01
5.025000000000000568e+02,1.990049751243780918e+01,2.024697448953069957e-06,5.112487602197062220e-01
5.030000000000000000e+02,1.988071570576540736e+01,1.989587844068319485e-06,5.033836308398814685e-01
5.035000000000000568e+02,1.986097318768619502e+01,1.975675182107809466e-06,5.008578606853106852e-01
5.040000000000000000e+02,1.984126984126984183e+01,1.937041592791824125e-06,4.920395572346079605e-01
5.045000000000000000e+02,1.982160555004955427e+01,1.933996252138485218e-06,4.922412095933502707e-01
5.050000000000000000e+02,1.980198019801980180e+01,1.918648324346836381e-06,4.893032889165519483e-01
5.055000000000000000e+02,1.978239366963402546e+01,1.884047687491479393e-06,4.814311765966196033e-01
5.060000000000000000e+02,1.976284584980237113e+01,1.851056762852964309e-06,4.739371693338215730e-01
5.065000000000000000e+02,1.974333662388943722e+01,1.835340201153455116e-06,4.708423047193599498e-01
5.069999999999999432e+02,1.972386587771203281e+01,1.809547438606080156e-06,4.651423595462542138e-01
5.075000000000000000e+02,1.970443349753694662e+01,1.761286851952727865e-06,4.536304367632497669e-01
5.080000000000000000e+02,1.968503937007874072e+01,1.745465916873470626e-06,4.504419163720353447e-01
5.085000000000000000e+02,1.966568338249754078e+01,1.700039760565310263e-06,4.395831059788335438e-01
5.089999999999999432e+02,1.964636542239685824e+01,1.675826478359229029e-06,4.341747998397872954e-01
5.094999999999999432e+02,1.962708537782139473e+01,1.619481098860960451e-06,4.204015033235913301e-01
5.099999999999999432e+02,1.960784313725490335e+01,1.617538018268563893e-06,4.207216385516533985e-01
5.105000000000000000e+02,1.958863858961802151e+01,1.598264821781400372e-06,4.165241947706562198e-01
5.109999999999999432e+02,1.956947162426614639e+01,1.574582893502791367e-06,4.111566597343422891e-01
5.115000000000000000e+02,1.955034213098729268e+01,1.531093843558920459e-06,4.005835272514683409e-01
