\hline 970	c-pentanone	33.2	[1]	1.307	[1]	1.48	[2]			0.1484	[2]
\hline 980	methyl-i-butyl ketone	23.2	[1]	0.546	[1]	1.34	[2]			0.1439	[2]
\hline 990	methyl t-butyl ketone			0.713	{$[\mathrm{~d}] \mathrm{a}$}	1.31	[2]			0.1384	[2]
\hline 1000	c-hexanone	35.0	[1]	2.003	[1]	2.01	[2]	0.89	[1]	0.1403	[2]
\hline 1010	2-heptanone	26.1	[1]	0.76	[1]	1.36	[2]				
\hline 1020	3-heptanone	25.5	[1]	0.743	[2]	1.47	[2]			0.1360	[2]
\hline 1030	di-t-butyl ketone										
\hline 1040	acetophenone	38.8	[1]	1.66	[1]	1.82	[2]			0.1471	[2]
\hline 1050	propiophenone										
\hline 1060	phenylacetone										
\hline 1070	p-methylacetophenone										
\hline 1080	p-chloroacetophenone										
\hline 1090	benzophenone	45.1	[3]	13.61	[d]	2.16	[2]f	0.46	[j] 7		
\hline 1100	acetylacetone	30.3	[1]	0.767	[2]	1.27	[2]			0.1533	[2]
\hline 1110	biacetyl										
\hline 1120	formic acid	37.0	[1]	1.966	[1]	2.02	{$[2]$}			0.2698	[2]
\hline 1130	acetic acid	26.9	[1]	1.131	[1]	1.48	[2]	0.99	[j]a	0.1593	[2]
\hline 1140	propanoic acid	26.2	[1]	1.024	[1]	1.43	[2]			0.1465	[2]
\hline 1150	n-butanoic acid	26.2	[1]	1.529	[1]	1.65	[2]			0.1466	[2]
\hline 1160	n-pentanoic acid	26.1	[1]	1.975	[1]	1.99	[2]			0.1420	[2]
\hline 1170	n-hexanoic acid	27.5	[1]	2.826	[1]	2.19	[2]			0.1420	[2]
\hline 1180	n-heptanoic acid	27.8	[2]	3.84	[2]	2.36	[2]			0.1426	[2]
\hline 1190	dichloroacetic acid	35.4	[3]	5.91	[2]	1.95	[2]			0.1869	[2]
\hline 1200	trifluoroacetic acid	13.5	[1]	0.855	[1]	1.54	[2]			0.1621	[2]
\hline 1210	acetic anhydride	31.9	[1]	0.841	[1]	1.37	[2]	1.61	[1]	0.1640	[2]
\hline 1220	benzoyl chloride	38.7	[2]	1.137	[2]	1.42	[2]			0.1041	[2]
\hline 1230	benzoyl bromide										
\hline 1240	methyl formate	23.9	{$[1]$}	0.328	[1]	0.94	[2]			0.1851	[2]
\hline 1250	ethyl formate	24.0	[1]	0.377	[1]	1.05	[2]			0.1603	[2]
\hline 1260	methyl acetate	24.1	[1]	0.364	[1]	1.02	[2]	3.28	[4]	0.1534	[2]
\hline 1270	ethyl acetate	23.1	[1]	0.426	[1]	1.10	[2]	2.77	{$[4]$}	0.1439	{$[2]$}
\hline 1280	propyl acetate	23.7	[1]	0.551	[1]	1.16	[2]			0.1409	[2]
\hline 1290	butyl acetate	24.5	[1]	0.689	[1]	1.34	{$[2]$}			0.1367	[2]
\hline 1300	i-pentyl acetate	24.2	[1]	0.789	[1]	1.42	[2]			0.1304	{$[2]$}
\hline 1310	methyl propanoate	24.4	[2]	0.431	[2]	1.09	[2]			0.1453	{$[2]$}
\hline 1320	ethyl propanoate	23.7	[1]	0.502	[1]	1.18	{$[2]$}			0.1387	{$[2]$}
\hline 1330	dimethyl carbonate	28.5	$\lceil 2\rceil$	0.585		1.44	$\lceil 2\rceil$			0.1617	
\hline 1340	diethyl carbonate	26.0	[1]	0.748	[1]	1.34	[2]				
\hline 1350	ethylene carbonate	41.4	[2]	1.93	{$[1] \mathrm{d}$}	1.41	[2]				
\hline 1360	propylene carbonate	41.4	[2]	2.53	[1]	2.22	[2]			0.2124	[2]
\hline 1370	diethyl malonate	31.1	$\lceil 1\rceil$	1.94	$\lceil 1\rceil$	2.05	$\lceil 2\rceil$			0.1503	$\lceil 2\rceil$
\hline 1380	methyl benzoate	37.5	[1]	1.859	[1]	2.09	{$[2]$}			0.1536	{$[2]$}
\hline 1390	ethyl benzoate	34.8	[1]	1.947	[1]	2.00	[2]			0.1443	[2]
\hline 1400	dimethyl phthalate	40.4	[2]	14.36	{$[2]$}	4.76	[2]			0.1487	[2]
\hline 1410	dibutyl phthalate	33.4	$\lceil 1\rceil$	15.4	$\lceil 1\rceil$	4.70	$\lceil 2\rceil$			0.1361	$\lceil 2\rceil$
\hline 1420	ethyl chloroacetate	31.3	[1]	1.11	[2]	1.59	[2]			0.1362	[2]
\hline 1430	ethyl trichloroacetate			0.4334	{$[d] \mathrm{a}$}						
\hline 1440	ethyl acetoacetate	31.3	{$[1]$}	1.508	{$[\mathrm{~g}]$}	1.83	{$[2]$}			0.1515	[2]
\hline 1450	4-butyrolactone	38.5	[2]	1.717	[2]	1.91	[v]			0.1613	[2]
\hline 1460	perfluoro-n-hexane	11.0	{$[s]$}	0.662	{$[\mathrm{f}]$}						
\hline 1470	perfluoro-n-heptane	11.9	{$[\mathrm{~s}]$}	0.8892	{$[\mathrm{f}]$}						
\hline 1480	perfluoro-methylcyclo-hexane	14.0	[w]	0.873	[f]						
\hline 1490	perfluoro-decalin	15.0	{$[\mathrm{t}]$}	5.14	[d]						
\hline 1500	fluorobenzene	27.1	{$[1]$}	0.549	[1]	1.25	{$[2]$}			0.1260	[2]
\hline 1510	hexafluorobenzene	21.6	[1]	0.86	[1]	2.05	[2]	1.61	{$[\mathrm{~m}]$}	0.0882	[2]
\hline 1520	1-chlorobutane	23.4	[1]	0.426	[1]	1.11	[2]			0.1187	[2]
\hline 1530	chlorobenzene	32.5	_1]	0.758	_1]	1.15	$\lceil 2\rceil$	2.35	[i]	0.1269	_2]
\hline 1540	dichloromethane	27.2	[1]	0.411	[1]	0.93	[2]	3.78	[1]	0.1390	[2]
\hline 1550	"1,1-dichloroethane"	24.2	[1]	0.505	[1]	1.07	[2]			0.1110	{$[2]$}
\hline 1560	"1,2-dichloroethane"	31.5	[1]	0.779	[1]	1.27	[2]	1.72	[4]	0.1347	[2]
\hline 1570	"tr-1,2-dichloroethylene"	27.8	[2]	0.385	[2]	0.93	[2]			0.1120	{$[2]$}
\hline 1580	o-dichlorobenzene	36.2	[1]	1.324	[1]	1.44	[2]			0.1211	[2]
\hline 1590	m-dichlorobenzene	35.5	[1]	1.028	[1]	1.27	[2]			0.1172	[2]
\hline 1600	chloroform	26.5	[1]	0.536	[1]	1.00	[2]	2.31	[4]	0.1175	{$[2]$}
\hline 1610	"1,1,1-trichloroethane"	24.9	[1]	0.795	[1]	1.39	[2]	0.71	{$[x]$}	0.1012	[2]
\hline 1620	"1,1,2-trichloroethane"	33.0	[1]	1.101	[1]	1.40	[2]			0.1328	[2]
\hline 1630	trichloroethylene	28.8	[1]	0.532	{$[1]$}	0.91	[2]			0.1150	[2]
\hline 1640	"1,2,4-trichlorobenzene"	44.7	[2]	2.669	[2]	1.83	[2]			0.1117	[2]
\hline 1650	tetrachloromethane	26.1	[1]	0.901	[1]	1.42	[2]	1.32	{$[4]$}	0.0997	[2]
\hline 1660	tetrachloroethylene	31.3	[1]	0.841	[1]	1.04	[2]			0.1100	[2]
\hline 1670	"1,1,2,2-tetrachloro-ethane"	35.4	[1]	1.575	[1]	1.67	[2]			0.1127	[2]
\hline 1680	pentachloroethane	34.2	[1]	2.276	[1]	1.72	[2]			0.0940	[2]
\hline 1690	1-bromobutane	24.8	[1]	0.597	[1]	1.09	[2]			0.1037	[2]
\hline 1700	bromobenzene	35.5	[1]	1.069	[1]	1.38	[1]	1.12	[4]	0.1108	[2]
\hline 1710	dibromomethane	40.1	[2]	0.981	{$[2]$}	1.05	[2]	1.55	{$[\mathrm{n}]$}	0.1085	[2]
\hline 1720	"1,2-dibromoethane"	38.3	[1]	1.611	[1]	1.51	[2]			0.1011	{$[2]$}
\hline 1730	bromoform	45.0	[1]	1.868	[1]	1.29	{$[2]$}	1.58	[1]	0.0994	[2]
\hline 1740	1-iodobutane	28.7	[1]	0.826	[1]						
\hline 1750	iodobenzene	38.8	[1]	1.517	[1]	1.57	[2]			0.1000	[2]
\hline 1760	diiodomethane	50.0	[1]	2.592	[1]	1.53	[2]	0.56	[n]	0.0980	[2]
\hline 1770	n-butylamine	23.5	[1]	0.578	[1]	1.40	[2]			0.1607	[2]
\hline 1780	benzylamine	39.5	[3]	1.59	[3]	1.76	[2]			0.1669	[2]
\hline 1790	"1,2-diaminoethane"	40.1	[1]	1.54	{$[1]$}	2.55	{$[2]$}			0.2322	[2]
\hline 1800	diethylamine	19.4	[1]	0.289	[1]	1.28	[2]			0.1341	[2]
