\hline 0	vacuum	0.00	j	1.00	j	0.00	j	1.0000		j		$0.00 \mathrm{E}+00$	j	0.0	j
\hline 640	"2,4-dimethylphenol"	1.70	{$[1] \mathrm{a}$}	6.16	{$[1] \mathrm{b}$}			1.5254	0.480	[1]	14.5	$8.00 \mathrm{E}-08$	{$[1] \mathrm{e}$}	83.5	{$[q$}
\hline 650	3-chlorophenol	2.14	[a]					1.5632		$\lceil 2\rceil$	12.9			77.6	$\lceil 3$
\hline 660	diethyl ether	1.15	{$[1] \mathrm{a}$}	4.20	{$[1]$}	5.00	{$[\mathrm{~m}]$}	1.3495	0.560	[1]	8.9	$3.00 \mathrm{E}-14$	[1]	55.1	{$[3$}
\hline 670	di-n-propyl ether	1.32	[1]	3.39	{$[1]$}			1.3780	0.490	{$[1]$}	12.6			79.4	{$[3$}
\hline 680	di-i-propyl ether	1.22	{$[1] \mathrm{a}$}	3.88	{$[1]$}	10.70	[m]	1.3655	0.500	[1]	12.6			79.4	{$[3]$}
\hline 690	di-n-butyl ether	1.17	{$[1] \mathrm{a}$}	3.08	{$[1] \mathrm{a}$}			1.3968	0.450	[1]	16.3				
\hline 700	di(2-chloroethyl) ether	2.58	[1]	21.20	{$[1] \mathrm{a}$}			1.4553	0.430	[1]	12.6				
\hline 710	"1,2-dimethoxyethane"	1.71	[1]	7.20	{$[1]$}	5.69	[n]	1.3781	0.304	[1]	9.6			55.2	[r]
\hline 720	bis(methoxyethyl) ether	1.97	[1]	5.80	[4]			1.4058	0.408	[1]	13.9			85.8	{$[\mathrm{r}]$}
\hline 730	furan	0.71	[1]	2.94	[1]			1.4187	0.538	[1]	7.3			43.1	{$[3$}
\hline 740	tetrahydrofuran	1.75	[1]	7.58	[1]	3.94	{$[\mathrm{n}]$}	1.4050	0.440	[1]	7.9	$9.30 \mathrm{E}-06$	{$[1]$}		
\hline 750	2-methyl tetrahydrofuran	1.38	{$[\mathrm{c}]$}	5.26	{$[\mathrm{~s}]$}	4.14	[s]	1.4051	0.481	[1]	9.8				
\hline 760	tetrahydropyran	1.63	[1]	5.61	[1]			1.4186	0.444	{$[1]$}	9.8				
\hline 770	dioxane	0.45	[1]	2.21	[1]	1.80	{$[\mathrm{~m}]$}	1.4203	0.460	[1]	8.6	$5.00 \mathrm{E}-13$	{$[1]$}	51.1	{$[3$}
\hline 780	"1,3-dioxolane"	1.47	{$[1]$}					1.3992		{$[1]$}	6.7				
\hline 790	"1,8-cineole"	1.58		4.57	[1]			1.4555	0.400	{$[1]$}	18.1			114.5	{$[3$}
\hline 800	anisole	1.25	[1]	4.33	{$[1]$}	5.90	[m]	1.5143	0.500	[1]	13.0	$1.00 \mathrm{E}-13$	[1]	72.2	{$[3$}
\hline 810	phenetole	1.36	[1]	4.22	{$[1] \mathrm{a}$}	4.90	{$[\mathrm{~m}]$}	1.5049	0.500	[1]	15.0			84.5	[3]:
\hline 820	diphenyl ether	1.17	[1]	3.60	{$[1]$}	4.50	[m]	1.5781	0.476	[2]	20.9			108.1	[3]:
\hline 830	dibenzyl ether	1.39	[2]	3.86	{$[4]$}			1.5385	0.412	{$[1]$}	23.7				
\hline 840	"1,2-dimethoxybenzene"	1.29	$\lceil 1\rceil$	4.09	$\lceil 1\rceil$			1.5323		$\lceil 1\rceil$	15.7			87.4	$\lceil 3$
\hline 850	trimethyl orthoformate	1.70	[a]					1.3790		[3]	10.3				
\hline 860	trimethyl orthoacetate	1.46	[a]					1.3810		[3]	12.5				
\hline 870	propionaldehyde	2.54	{$[1] \mathrm{a}$}	18.50	{$[1] \mathrm{a}$}			1.3593	0.518	[1]	6.4	$9.50 \mathrm{E}-03$	[1]	34.3	{$[3$.}
\hline 880	butyraldehyde	2.45	{$[1] \mathrm{d}$}	13.40	[1]			1.3766	0.505	[1]	8.2			46.1	{$[3$.}
\hline 890	benzaldehyde	2.77	{$[1] \mathrm{a}$}	17.80	{$[1] \mathrm{a}$}			1.5437	0.360		12.7			60.8	{$[3$.}
\hline 900	p-methoxybenzaldehyde	3.85	[a]	15.50	{$[\mathrm{c}] \mathrm{a}$}			1.5730			15.9			78.0	[3]:
\hline 910	cinnamaldehyde	3.62	[a]	16.90	[3]						17.5			74.8	[3]
\hline 920	acetone	2.69	{$[1] \mathrm{a}$}	20.56	[1]	4.72	{$[\mathrm{~m}]$}	1.3560	0.544	[1]	6.4	$4.90 \mathrm{E}-07$	[1]	34.0	{$[3$.}
\hline 930	2-butanone	2.76	[1]	18.11	[1]	4.77	{$[\mathrm{~m}]$}	1.3769	0.480	[1]	8.2	$3.60 \mathrm{E}-07$	[1]	45.6	[3.
\hline 940	2-pentanone	2.70	{$[1] \mathrm{a}$}	15.38	{$[1] \mathrm{a}$}	4.49	{$[\mathrm{~m}]$}	1.3885	0.469	[1]	10.1			57.4	{$[3$.}
\hline 950	methyl i-propyl ketone	2.77	[2]	15.87	[4]	4.84	{$[\mathrm{~m}]$}		1.3857	[2]	10.0			58.5	{$[3$.}
\hline 960	3-pentanone	2.82	[1]	17.00	{$[1] \mathrm{a}$}	5.18	{$[\mathrm{~m}]$}	1.3900	0.450	[1]	10.0			57.3	{$[3$}
\hline 970	c-pentanone	2.93	[2]	14.45	[4]	2.23	[c]	1.4354	0.412	[4]	9.2			51.6	{$[3$}
\hline 980	methyl-i-butyl ketone	2.70	{$[2] \mathbf{a}$}	13.11	{$[1] \mathrm{a}$}	5.07	[c]	1.3936	0.430	[1]	11.9	$5.20 \mathrm{E}-06$	[1]	70.0	{$[3$.}
\hline 990	methyl t-butyl ketone	2.75	[a]	12.60	{$[\mathrm{c}] \mathrm{a}$}			1.3950		[3]	11.9			69.9	[3]
\hline 1000	c-hexanone	3.08	_1]	15.50	_c]	3.73	$\lceil\mathrm{c}\rceil$	1.4500	0.212	_1]	11.1	$5.00 \mathrm{E}-16$	$\lceil 1\rceil$	62.0	$\lceil 3\rceil$
\hline 1010	2-heptanone	2.97	{$[1] \mathrm{a}$}	11.98	{$[1] \mathrm{a}$}	4.61	{$[\mathrm{~m}]$}	1.4066	0.428	[1]	13.7			80.5	[3]
\hline 1020	3-heptanone	2.78	{$[1] \mathrm{a}$}	12.88	{$[1] \mathrm{a}$}			1.4066	0.440	[1]	13.7			80.7	[3]
\hline 1030	di-t-butyl ketone	2.51	[a]	14.50	{$[c]$}			1.4200		[3]	17.4			104.1	[3]
\hline 1040	acetophenone	2.95	[1]	17.39	[1]	5.30	{$[\mathrm{~m}]$}	1.5321	0.450	[2]	14.4	$3.10 \mathrm{E}-07$	[1]	72.6	[3]
\hline 1050	propiophenone			15.50	{$[\mathrm{c}] \mathrm{a}$}			1.5270		[3]	16.2				
\hline 1060	phenylacetone							1.5170		[3]	15.8			83.2	[3]
\hline 1070	p-methylacetophenone	3.16	[a]					1.5340		[3]	16.4				
\hline 1080	p-chloroacetophenone	2.48	[a]	9.60	{$[x]$}			1.5550		[3]	16.5			86.5	[3]
\hline 1090	benzophenone (beta)	2.98	{$[2]$}	11.40	[3]			1.6060		[3]	22.5			110.0	[3]
\hline 1100	acetylacetone	2.78	{$[1] \mathrm{a}$}	25.70	{$[1] \mathrm{a}$}			1.4465		[2]	11.0			54.9	[3]
\hline 1110	biacetyl	1.03	[a]					1.3930		{$[3] \mathrm{a}$}	8.3				
\hline 1120	formic acid	1.82	{$[1] \mathrm{b}$}	58.50	[1]	6.41	[n]	1.3694	0.420	[1]	3.4	$6.08 \mathrm{E}-05$	[1]	19.9	[3]
\hline 1130	acetic acid	1.68	{$[1] \mathrm{b}$}	6.15	[1]	-2.62	{$[\mathrm{~m}]$}	1.3698	0.380	{$[1]$}	5.2	$1.00 \mathrm{E}-07$	{$[1]$}	31.7	[3]
\hline 1140	propanoic acid	1.68	{$[1] \mathrm{b}$}	3.37	[1]			1.3843	0.440	[1]	7.0	$1.00 \mathrm{E}-07$	[1]	43.4	[3]
\hline 1150	n-butanoic acid	1.65	{$[1] \mathrm{b}$}	2.90	[1]	-1.83	{$[\mathrm{~m}]$}	1.3958	0.382	[1]	8.8			55.1	[3]
\hline 1160	n-pentanoic acid	1.61	{$[1] \mathrm{a}$}	2.66	{$[1] \mathrm{a}$}			1.4060	0.400	{$[1]$}	10.6			66.8	[3]
\hline 1170	n-hexanoic acid	1.13	[1]	2.63	[1]			1.4148	0.388	[1]	12.5			78.5	[3]
\hline 1180	n-heptanoic acid	1.68	[2]	2.71	{$[c] f$}			1.4210		[2]	14.3			88.6	3]
\hline 1190	dichloroacetic acid			8.20	{$[3] \mathrm{a}$}			1.4658		[2]	9.1			58.2	[3]
\hline 1200	trifluoroacetic acid	2.28	[1]	8.55	{$[1] \mathrm{a}$}	-1.35	{$[\mathrm{~m}]$}	1.2850		{$[1] \mathrm{a}$}	5.4			42.9	I]
\hline 1210	acetic anhydride	2.82	[1]	20.63	[1]	-13.64	{$[\mathrm{n}]$}	1.3904	0.410	[1]	8.9	$5.00 \mathrm{E}-07$	[1]	52.8	
\hline 1220	benzoyl chloride	3.16	[2]	23.00	{$[3] \mathrm{a}$}			1.5508		[2]	14.7			75.8	[3]
\hline 1230	benzoyl bromide														
\hline 1240	methyl formate	1.77	[1]	8.50	{$[1] \mathrm{a}$}	13.50	{$[\mathrm{~m}]$}	1.3415	0.440	[1]	5.2	$1.92 \mathrm{E}-06$	[1]		
\hline 1250	ethyl formate	1.94	[1]	7.16	[1]			1.3575	0.460	[1]	7.0	$1.45 \mathrm{E}-07$	[1]		
\hline 1260	methyl formate	1.68	[2]	6.68	[1]	7.60	{$[\mathrm{~m}]$}	1.3589	0.500	[1]	7.0	$3.40 \mathrm{E}-04$	[1]	42.2	[3]
\hline 1270	ethyl acetate	1.78	[2]	6.02	[1]	5.70	{$[\mathrm{~m}]$}	1.3698	0.490	[1]	8.8	$1.00 \mathrm{E}-07$	[1]	54.1	[3]
\hline 1280	propyl acetate	1.78	[1]	6.00	[1]	3.10	{$[\mathrm{~m}]$}	1.3828	0.480	[1]	10.7	$2.20 \mathrm{E}-05$	{$[1]$}	65.9	[3]
\hline 1290	butyl acetate	1.84	[2]	5.01	[4]	6.50	{$[\mathrm{~m}]$}	1.3918	0.470	[1]	12.4	$1.60 \mathrm{E}-06$	[1]	77.4	[3]
\hline 1300	i-pentyl acetate	1.86	[1]	4.63	{$[1] \mathrm{b}$}	6.50	{$[\mathrm{~m}]$}	1.3981	0.480	[1]	14.4			89.4	[3]
