Wavelength,S1 / R1,S1/R1c,S1c / R1,S1c / R1c,S1,R1
nm,Undefined / MicroAmps, ,Undefined / MicroAmps,Undefined / MicroAmps,CPS,MicroAmps
453.5,4872.76019469127,4022.49735607675,5347.41640488707,4414.32935155196,53192.5,10.9163423454558
454,4831.0939301018,3988.10156550792,5321.97707232317,4393.32900597983,52735.5,10.9158260826316
454.5,4800.51842843314,3962.86127669648,5308.46480873457,4382.17453861675,52411,10.9176859581447
455,4741.2790206248,3913.95873444862,5262.84274992757,4344.51321246943,51756,10.9159662895426
455.5,4697.47094207978,3877.79486159599,5233.66551764087,4320.42720473633,51295.5,10.9197201195488
456,4681.79738044298,3864.85622769543,5235.61867657424,4322.03955099011,51128.5,10.9205425469279
456.5,4673.65980881609,3858.13860584535,5245.90864995764,4330.53399542715,51037,10.9201495354481
457,4645.72809258083,3835.08078025618,5233.80828093981,4320.54505683034,50738.5,10.9214851098067
457.5,4650.37439125539,3838.91633205582,5258.35013933328,4340.8045312466,50776.5,10.9187256157513
458,4646.57128344377,3835.77684016501,5273.33398459194,4353.1737994906,50746.5,10.9212789116839
458.5,4669.38685886117,3854.6112560047,5318.63636553133,4390.57122933974,50990.5,10.920127568895
459,4664.0499900361,3850.20563375348,5331.90814657527,4401.52717669333,50906,10.9145508567845
459.5,4672.35417460757,3857.06079574554,5360.80976533864,4425.38566355026,51029.5,10.9216067437195
460,4691.28304615393,3872.68671056723,5402.01729794526,4459.4027676838,51176.5,10.9087710868098
460.5,4695.11834145727,3875.85277345583,5430.23448568338,4482.69625197965,51258,10.9173346214701
461,4708.80347440321,3887.14994567304,5469.94158114059,4515.47473483381,51420.5,10.9200849419413
461.5,4690.38596524439,3871.94616405095,5472.29146407405,4517.4145795028,51213,10.9187195946331
462,4684.56974918445,3867.14483733084,5489.23450457874,4531.40117701857,51130.5,10.9146677909901
462.5,4727.75041467502,3902.79077635298,5563.84855685786,4592.99559497206,51650.5,10.924917324208
463,4687.88503760069,3869.88163092547,5540.63892145861,4573.83587988271,51216,10.925070903922
463.5,4675.6865750592,3859.81171544413,5549.89747737394,4581.47888204216,51066,10.9215536522881
464,4664.50413296399,3850.58053189205,5560.24869837588,4590.02388681335,50962,10.9254712152066
464.5,4660.8964424241,3847.60235831518,5579.55982203703,4605.96535340849,50906.5,10.9219411065169
465,4652.11343692015,3840.35192632049,5592.60772685812,4616.73648938649,50808,10.9213634148588
465.5,4638.42976785302,3829.0559625454,5600.37305955592,4623.14682541739,50647.5,10.9190295891441
466,4608.13320895287,3804.04594292513,5587.83030884989,4612.79269766698,50318.5,10.9195386315092
466.5,4586.04158590603,3785.80915479134,5584.97217923619,4610.43329183639,50068,10.9175069939089
467,4551.7094757306,3757.46775958792,5566.89788439949,4595.51283601901,49698.5,10.9186890190711
467.5,4516.9062148653,3728.73742622039,5547.88562973938,4579.81808785827,49328,10.9207499565987
468,4485.45149809521,3702.77133924126,5532.64209483232,4567.23444400736,48977,10.9190511803309
468.5,4426.77771549403,3654.33572452716,5483.31468932908,4526.5143284484,48316,10.9144929588345
469,4370.77043707078,3608.1013275166,5436.69545217915,4488.0298246589,47695.5,10.9123757621509
