# wavenlength / nm,  wavenumber / cm-1,  norm. intensity for wavelength, norm. intensity for wavenumber
4.559999999999999432e+02,2.192982456140351033e+01,1.678991505911948634e-06,3.491227777733068582e-01
4.570000000000000000e+02,2.188183807439824946e+01,1.772374351213676120e-06,3.701586108766250494e-01
4.580000000000000000e+02,2.183406113537117932e+01,1.852148587354517786e-06,3.885140962778330653e-01
4.590000000000000000e+02,2.178649237472766842e+01,1.938103942110408868e-06,4.083216766277630305e-01
4.600000000000000000e+02,2.173913043478260931e+01,2.044574246715698206e-06,4.326319106050417473e-01
4.610000000000000568e+02,2.169197396963123481e+01,2.130305296078805727e-06,4.527346118279640397e-01
4.619999999999999432e+02,2.164502164502164661e+01,2.218861222555104938e-06,4.736026147870517344e-01
4.630000000000000000e+02,2.159827213822894265e+01,2.288679201638622652e-06,4.906218717760699177e-01
4.640000000000000000e+02,2.155172413793103559e+01,2.401346913215378474e-06,5.170003850276181367e-01
4.650000000000000568e+02,2.150537634408602017e+01,2.484636165258474332e-06,5.372404548330137475e-01
4.660000000000000568e+02,2.145922746781115720e+01,2.574477145522713007e-06,5.590631590131304174e-01
4.670000000000000568e+02,2.141327623126338153e+01,2.650976000013324974e-06,5.781487048669061712e-01
4.680000000000000568e+02,2.136752136752136622e+01,2.742326948786413671e-06,6.006354176309955939e-01
4.690000000000000000e+02,2.132196162046908228e+01,2.826907426002486075e-06,6.218093843309328017e-01
4.700000000000000000e+02,2.127659574468085069e+01,2.898080242964393120e-06,6.401859256708344326e-01
4.710000000000000000e+02,2.123142250530785446e+01,2.979589437923934999e-06,6.609951004984836453e-01
4.720000000000000568e+02,2.118644067796610031e+01,3.065190459005319060e-06,6.828753912190411723e-01
4.729999999999999432e+02,2.114164904862579419e+01,3.155231703865865667e-06,7.059168338742061177e-01
4.740000000000000000e+02,2.109704641350210963e+01,3.203847544830510534e-06,7.198276509823398062e-01
4.749999999999999432e+02,2.105263157894736992e+01,3.276017487054715859e-06,7.391514455167200737e-01
4.760000000000000000e+02,2.100840336134453779e+01,3.352791648807864970e-06,7.596621206202908150e-01
4.769999999999999432e+02,2.096436058700209770e+01,3.433248774152353819e-06,7.811636603341106655e-01
4.780000000000000000e+02,2.092050209205021005e+01,3.482036677291103869e-06,7.955896681741805310e-01
4.790000000000000000e+02,2.087682672233820469e+01,3.535517154287674031e-06,8.111925913969182389e-01
4.800000000000000000e+02,2.083333333333333215e+01,3.593753273292425013e-06,8.280007541665747040e-01
4.810000000000000000e+02,2.079002079002079029e+01,3.642618642889658332e-06,8.427598918375942549e-01
4.820000000000000000e+02,2.074688796680498015e+01,3.686352180706182954e-06,8.564280840303832854e-01
4.830000000000000000e+02,2.070393374741200887e+01,3.746099934027825865e-06,8.739239075094175080e-01
4.839999999999999432e+02,2.066115702479338978e+01,3.768777342891414505e-06,8.828587052363709997e-01
4.849999999999999432e+02,2.061855670103092919e+01,3.781433820954132415e-06,8.894877705339355733e-01
4.859999999999999432e+02,2.057613168724279973e+01,3.832572265798224398e-06,9.052382388924771206e-01
4.869999999999999432e+02,2.053388090349076123e+01,3.859026635187181552e-06,9.152414880407083730e-01
4.880000000000000000e+02,2.049180327868852558e+01,3.910785920720972062e-06,9.313302023041751809e-01
4.890000000000000000e+02,2.044989775051124781e+01,3.926366860165948013e-06,9.388767699697416758e-01
4.900000000000000000e+02,2.040816326530612201e+01,3.953717950993714534e-06,9.492876800335908749e-01
4.910000000000000568e+02,2.036659877800407159e+01,3.965960347646913856e-06,9.561176865710658834e-01
4.920000000000000000e+02,2.032520325203251943e+01,3.967282308043045256e-06,9.603362246141317060e-01
4.930000000000000000e+02,2.028397565922920975e+01,3.979987573231095717e-06,9.673319996862445036e-01
4.940000000000000000e+02,2.024291497975708509e+01,3.989448328981461578e-06,9.735690124113198785e-01
4.950000000000000568e+02,2.020202020202020066e+01,3.988582186751154523e-06,9.773023503087018282e-01
4.960000000000000000e+02,2.016129032258064413e+01,3.986395741918534569e-06,9.807171348438301628e-01
4.970000000000000568e+02,2.012072434607645732e+01,4.028316830728955176e-06,9.950305120415288140e-01
4.980000000000000000e+02,2.008032128514056325e+01,3.974169552818443554e-06,9.856099457771851924e-01
4.990000000000000000e+02,2.004008016032064177e+01,3.986778798489924760e-06,9.927119076027898226e-01
5.000000000000000000e+02,2.000000000000000000e+01,3.962447681680474950e-06,9.906119204201186967e-01
5.009999999999999432e+02,1.996007984031936289e+01,3.984047872319234337e-06,1.000000000000000000e+00
5.020000000000000000e+02,1.992031872509960166e+01,3.925781450074348328e-06,9.893126285445360546e-01
5.030000000000000000e+02,1.988071570576540736e+01,3.943946307634772419e-06,9.978539113483660961e-01
5.040000000000000000e+02,1.984126984126984183e+01,3.896728309090295817e-06,9.898313381618806250e-01
5.050000000000000000e+02,1.980198019801980180e+01,3.896015930919622429e-06,9.935814627827768142e-01
5.060000000000000000e+02,1.976284584980237113e+01,3.841095565086900773e-06,9.834587441025897103e-01
5.069999999999999432e+02,1.972386587771203281e+01,3.811114536433235358e-06,9.796431804756264849e-01
5.080000000000000000e+02,1.968503937007874072e+01,3.803455988173610941e-06,9.815350661320347836e-01
5.089999999999999432e+02,1.964636542239685824e+01,3.755690619057488819e-06,9.730280812760330189e-01
5.099999999999999432e+02,1.960784313725490335e+01,3.774626233602302694e-06,9.817802833599587053e-01
5.109999999999999432e+02,1.956947162426614639e+01,3.704193855479265521e-06,9.672428037366010978e-01
5.120000000000000000e+02,1.953125000000000000e+01,3.678625247664204296e-06,9.643295369236851711e-01
5.130000000000000000e+02,1.949317738791422983e+01,3.657215944795551270e-06,9.624658629759004214e-01
5.140000000000000000e+02,1.945525291828793613e+01,3.630794119283328268e-06,9.592412831381782468e-01
5.150000000000000000e+02,1.941747572815533829e+01,3.574930726204801274e-06,9.481610018576683840e-01
5.160000000000000000e+02,1.937984496124030898e+01,3.518196007988803881e-06,9.367407963030669471e-01
5.170000000000000000e+02,1.934235976789168276e+01,3.487622825698766575e-06,9.322032174581975639e-01
5.180000000000000000e+02,1.930501930501930374e+01,3.463610800389419977e-06,9.293699044036907164e-01
5.190000000000000000e+02,1.926782273603082984e+01,3.404644777433495888e-06,9.170785218942638650e-01
5.200000000000000000e+02,1.923076923076922995e+01,3.356753274513278993e-06,9.076660854283906676e-01
5.210000000000000000e+02,1.919385796545105549e+01,3.342801437952339068e-06,9.073733651192208427e-01
5.220000000000000000e+02,1.915708812260536575e+01,3.272631447687205511e-06,8.917397073916004668e-01
5.230000000000000000e+02,1.912045889101338503e+01,3.255950213316687792e-06,8.905968058983002589e-01
5.240000000000000000e+02,1.908396946564885610e+01,3.202901563728637354e-06,8.794398997623543712e-01
5.250000000000000000e+02,1.904761904761904745e+01,3.175369224366734219e-06,8.752111424660811156e-01
