# time delay / ns, fit / counts
2.778409100000000365e+01,1.839935892439297334e+02
2.788157900000000211e+01,1.836325520318402198e+02
2.797906700000000058e+01,1.832735115953814216e+02
2.807655499999999904e+01,1.829164394912780267e+02
2.817404299999999751e+01,1.825613077663936963e+02
2.827153099999999597e+01,1.822080889491237770e+02
2.836901900000000865e+01,1.818567560409393025e+02
2.846650700000000711e+01,1.815072825080802943e+02
2.856399500000000558e+01,1.811596422733940415e+02
2.866148300000000404e+01,1.808138097083182174e+02
2.875897100000000250e+01,1.804697596250042295e+02
2.885645900000000097e+01,1.801274672685792950e+02
2.895394699999999943e+01,1.797869083095448843e+02
2.905143499999999790e+01,1.794480588363083200e+02
2.914892299999999636e+01,1.791108953478464230e+02
2.924641100000000904e+01,1.787753947464974829e+02
2.934389900000000750e+01,1.784415343308809554e+02
2.944138700000000597e+01,1.781092917889405101e+02
2.953887500000000443e+01,1.777786451911105701e+02
2.963636300000000290e+01,1.774495729836021667e+02
2.973385199999999884e+01,1.771220506301195599e+02
2.983133999999999730e+01,1.767960640277457003e+02
2.992882799999999577e+01,1.764715893434008933e+02
3.002631600000000844e+01,1.761486064616002807e+02
3.012380400000000691e+01,1.758270956107976417e+02
3.022129200000000537e+01,1.755070373573492191e+02
3.031878000000000384e+01,1.751884125995845238e+02
3.041626800000000230e+01,1.748712025619811072e+02
3.051375600000000077e+01,1.745553887894419347e+02
3.061124399999999923e+01,1.742409531416731170e+02
3.070873199999999770e+01,1.739278777876607478e+02
3.080621999999999616e+01,1.736161452002452279e+02
3.090370800000000884e+01,1.733057381507899493e+02
3.100119600000000730e+01,1.729966397039453625e+02
3.109868400000000577e+01,1.726888332125034253e+02
3.119617200000000423e+01,1.723823023123438247e+02
3.129366000000000270e+01,1.720770309174684769e+02
3.139114800000000116e+01,1.717730032151235946e+02
3.148863599999999963e+01,1.714702036610073321e+02
3.158612399999999809e+01,1.711686169745618997e+02
3.168361199999999656e+01,1.708682281343486977e+02
3.178109999999999502e+01,1.705690223735039979e+02
3.187858800000000770e+01,1.702709851752755412e+02
3.197607600000000616e+01,1.699741022686371252e+02
3.207356400000000463e+01,1.696783596239800715e+02
3.217105200000000309e+01,1.693837434488811198e+02
3.226854099999999903e+01,1.690902371789460403e+02
3.236602899999999750e+01,1.687978335049291161e+02
3.246351699999999596e+01,1.685065163049629575e+02
3.256100500000000864e+01,1.682162726945122984e+02
3.265849300000000710e+01,1.679270900061558223e+02
3.275598100000000557e+01,1.676389557857805812e+02
3.285346900000000403e+01,1.673518577888443701e+02
3.295095700000000249e+01,1.670657839767033579e+02
3.304844500000000096e+01,1.667807225130040365e+02
3.314593299999999942e+01,1.664966617601391476e+02
3.324342099999999789e+01,1.662135902757656254e+02
3.334090899999999635e+01,1.659314968093839866e+02
3.343839700000000903e+01,1.656503702989774069e+02
3.353588500000000749e+01,1.653701998677106815e+02
3.363337300000000596e+01,1.650909748206864549e+02
3.373086100000000442e+01,1.648126846417589206e+02
3.382834900000000289e+01,1.645353189904036526e+02
3.392583700000000135e+01,1.642588676986420353e+02
3.402332499999999982e+01,1.639833207680202349e+02
3.412081299999999828e+01,1.637086683666410636e+02
3.421830099999999675e+01,1.634349008262480538e+02
3.431578899999999521e+01,1.631620086393609483e+02
3.441327700000000789e+01,1.628899824564612686e+02
3.451076500000000635e+01,1.626188130832278773e+02
3.460825300000000482e+01,1.623484914778204882e+02
3.470574100000000328e+01,1.620790087482115496e+02
3.480322999999999922e+01,1.618103533980424231e+02
3.490071799999999769e+01,1.615425223385205697e+02
3.499820599999999615e+01,1.612755043515196860e+02
3.509569400000000883e+01,1.610092911185066384e+02
3.519318200000000729e+01,1.607438744581069159e+02
3.529067000000000576e+01,1.604792463237051834e+02
3.538815800000000422e+01,1.602153988010889520e+02
3.548564600000000269e+01,1.599523241061329770e+02
3.558313400000000115e+01,1.596900145825249524e+02
3.568062199999999962e+01,1.594284626995306837e+02
3.577810999999999808e+01,1.591676610497989088e+02
3.587559799999999655e+01,1.589076023472045165e+02
3.597308600000000922e+01,1.586482794247298216e+02
3.607057400000000769e+01,1.583896852323831297e+02
3.616806200000000615e+01,1.581318128351535961e+02
3.626555000000000462e+01,1.578746554110023794e+02
3.636303800000000308e+01,1.576182062488889812e+02
3.646052600000000155e+01,1.573624587468323170e+02
3.655801400000000001e+01,1.571074064100058933e+02
3.665550199999999847e+01,1.568530428488662665e+02
3.675298999999999694e+01,1.565993617773147548e+02
3.685047799999999540e+01,1.563463570108912961e+02
3.694796600000000808e+01,1.560940224649998527e+02
3.704545400000000654e+01,1.558423521531655922e+02
3.714294200000000501e+01,1.555913401853219398e+02
3.724043000000000347e+01,1.553409807661284674e+02
3.733791899999999941e+01,1.550912656351461862e+02
3.743540699999999788e+01,1.548421943044493219e+02
3.753289499999999634e+01,1.545937586882971004e+02
3.763038300000000902e+01,1.543459533540134032e+02
3.772787100000000748e+01,1.540987729556693182e+02
3.782535900000000595e+01,1.538522122325705652e+02
3.792284700000000441e+01,1.536062660077714384e+02
3.802033500000000288e+01,1.533609291866149533e+02
3.811782300000000134e+01,1.531161967552987733e+02
3.821531099999999981e+01,1.528720637794659467e+02
3.831279899999999827e+01,1.526285254028208271e+02
3.841028699999999674e+01,1.523855768457692363e+02
3.850777499999999520e+01,1.521432134040822746e+02
3.860526300000000788e+01,1.519014304475839197e+02
3.870275100000000634e+01,1.516602234188617331e+02
3.880023900000000481e+01,1.514195878319996211e+02
3.889772700000000327e+01,1.511795192713338736e+02
3.899521500000000174e+01,1.509400133902301206e+02
3.909270300000000020e+01,1.507010659098824590e+02
3.919019099999999867e+01,1.504626726181330412e+02
3.928767899999999713e+01,1.502248293683132658e+02
3.938516699999999560e+01,1.499875320781044934e+02
3.948265500000000827e+01,1.497507767284191971e+02
3.958014300000000674e+01,1.495145593623019522e+02
3.967763100000000520e+01,1.492788760838491271e+02
3.977511900000000367e+01,1.490437230571482701e+02
3.987260799999999961e+01,1.488090941012007420e+02
3.997009599999999807e+01,1.485749903103807412e+02
4.006758399999999654e+01,1.483414056131526024e+02
4.016507200000000921e+01,1.481083364033271152e+02
4.026256000000000768e+01,1.478757791296747257e+02
4.036004800000000614e+01,1.476437302949715047e+02
4.045753600000000461e+01,1.474121864550619421e+02
4.055502400000000307e+01,1.471811442179385949e+02
4.065251200000000154e+01,1.469506002428372256e+02
4.075000000000000000e+01,1.467205512393485662e+02
4.084748799999999846e+01,1.464909939665450338e+02
4.094497599999999693e+01,1.462619252321235024e+02
4.104246399999999539e+01,1.460333418915622872e+02
4.113995200000000807e+01,1.458052408472936179e+02
4.123744000000000653e+01,1.455776190478906074e+02
4.133492800000000500e+01,1.453504734872679478e+02
4.143241600000000346e+01,1.451238012038972158e+02
4.152990400000000193e+01,1.448975992800358199e+02
4.162739200000000039e+01,1.446718648409693060e+02
4.172487999999999886e+01,1.444465950542671919e+02
4.182236799999999732e+01,1.442217871290517621e+02
4.191985599999999579e+01,1.439974383152797657e+02
4.201734400000000846e+01,1.437735459030367622e+02
4.211483200000000693e+01,1.435501072218436036e+02
4.221232000000000539e+01,1.433271196399755354e+02
4.230980800000000386e+01,1.431045805637927799e+02
4.240729699999999980e+01,1.428824851612033626e+02
4.250478499999999826e+01,1.426608354690729072e+02
4.260227299999999673e+01,1.424396267236774065e+02
4.269976099999999519e+01,1.422188564772582140e+02
4.279724900000000787e+01,1.419985223169680637e+02
4.289473700000000633e+01,1.417786218642695530e+02
4.299222500000000480e+01,1.415591527743439428e+02
