# wavelength / nm, time resolution / fs
4.130000000000000000e+02,2.229009082572385978e+02
4.140000000000000000e+02,2.213207538996594792e+02
4.150000000000000000e+02,2.199101245189869758e+02
4.160000000000000000e+02,2.195548342562959760e+02
4.170000000000000000e+02,2.187386464555876842e+02
4.180000000000000000e+02,2.177018105041540537e+02
4.190000000000000000e+02,2.184367802671989978e+02
4.200000000000000000e+02,2.163549428622385733e+02
4.210000000000000000e+02,2.161176566873094487e+02
4.220000000000000000e+02,2.152916545599794063e+02
4.230000000000000000e+02,2.149095029715041676e+02
4.240000000000000000e+02,2.140917567401086501e+02
4.250000000000000000e+02,2.134667240959992398e+02
4.260000000000000000e+02,2.124823340225725872e+02
4.270000000000000000e+02,2.102679183665031246e+02
4.280000000000000000e+02,2.080835253139929648e+02
4.290000000000000000e+02,2.072049091437200730e+02
4.300000000000000000e+02,2.067817078478188648e+02
4.310000000000000000e+02,2.047950556423671173e+02
4.320000000000000000e+02,2.045507250303119804e+02
4.330000000000000000e+02,2.039878735872933078e+02
4.340000000000000000e+02,2.023302249148025282e+02
4.350000000000000000e+02,2.022800758678978070e+02
4.360000000000000000e+02,2.020622978349616403e+02
4.370000000000000000e+02,2.021122335698153449e+02
4.380000000000000000e+02,2.016283711315214759e+02
4.390000000000000000e+02,2.004614727912354510e+02
4.400000000000000000e+02,1.993033204586664908e+02
4.410000000000000000e+02,1.986109057528364872e+02
4.420000000000000000e+02,1.986958227017984200e+02
4.430000000000000000e+02,1.967353083670037677e+02
4.440000000000000000e+02,1.946685101625246830e+02
4.450000000000000000e+02,1.934267019211018237e+02
4.460000000000000000e+02,1.930952816953681008e+02
4.470000000000000000e+02,1.919823535135009251e+02
4.480000000000000000e+02,1.916312588673422113e+02
4.490000000000000000e+02,1.887485980815152118e+02
4.500000000000000000e+02,1.864247474391039532e+02
4.510000000000000000e+02,1.859684972019854854e+02
4.520000000000000000e+02,1.858649265290345625e+02
4.530000000000000000e+02,1.823515741815142519e+02
4.540000000000000000e+02,1.808506167919326231e+02
4.550000000000000000e+02,1.798812837698299916e+02
4.560000000000000000e+02,1.805669705655689654e+02
4.570000000000000000e+02,1.799090688319343485e+02
4.580000000000000000e+02,1.784885790315995564e+02
4.590000000000000000e+02,1.766755473987355742e+02
4.600000000000000000e+02,1.747533777442267819e+02
4.610000000000000000e+02,1.748878825433675672e+02
4.620000000000000000e+02,1.733011146151678759e+02
4.630000000000000000e+02,1.736284236638664993e+02
4.640000000000000000e+02,1.718011162104859864e+02
4.650000000000000000e+02,1.731465217731747828e+02
4.660000000000000000e+02,1.710258402376848892e+02
4.670000000000000000e+02,1.703446033993793662e+02
4.680000000000000000e+02,1.704256750108088738e+02
4.690000000000000000e+02,1.687971861076968025e+02
4.700000000000000000e+02,1.684059142578277601e+02
4.710000000000000000e+02,1.677133493232688011e+02
4.720000000000000000e+02,1.658978790455247463e+02
4.730000000000000000e+02,1.646667986001828297e+02
4.740000000000000000e+02,1.641077849606079724e+02
4.750000000000000000e+02,1.622821707437997532e+02
4.760000000000000000e+02,1.621208795665993989e+02
4.770000000000000000e+02,1.595219202865066848e+02
4.780000000000000000e+02,1.582459524509628466e+02
4.790000000000000000e+02,1.573984192734719159e+02
4.800000000000000000e+02,1.564136906497295456e+02
4.810000000000000000e+02,1.564768913616695443e+02
4.820000000000000000e+02,1.546321355461143980e+02
4.830000000000000000e+02,1.548976303723506760e+02
4.840000000000000000e+02,1.534650770465556207e+02
4.850000000000000000e+02,1.528967245238228827e+02
4.860000000000000000e+02,1.515608840457264819e+02
4.870000000000000000e+02,1.511649318611856359e+02
4.880000000000000000e+02,1.506996305127535720e+02
5.240000000000000000e+02,1.281625035102597678e+02
5.250000000000000000e+02,1.269498404142010202e+02
5.260000000000000000e+02,1.270102941518711503e+02
5.270000000000000000e+02,1.260868344312591205e+02
5.280000000000000000e+02,1.257785126076367845e+02
5.290000000000000000e+02,1.265234489072013560e+02
5.300000000000000000e+02,1.262957856748663517e+02
5.310000000000000000e+02,1.269543419551194035e+02
5.320000000000000000e+02,1.274824015299782758e+02
5.330000000000000000e+02,1.273929460687647293e+02
5.340000000000000000e+02,1.293263018995950802e+02
5.350000000000000000e+02,1.298278464965956118e+02
5.360000000000000000e+02,1.298501801171815941e+02
5.370000000000000000e+02,1.305494282895441529e+02
5.380000000000000000e+02,1.306854419292635896e+02
5.390000000000000000e+02,1.310541287965351387e+02
5.400000000000000000e+02,1.303496820976207289e+02
5.410000000000000000e+02,1.299697881179066030e+02
5.420000000000000000e+02,1.310541848453670184e+02
5.430000000000000000e+02,1.293016996311139621e+02
5.440000000000000000e+02,1.297937377361425604e+02
5.510000000000000000e+02,1.244705817133093717e+02
5.520000000000000000e+02,1.236650353492459260e+02
5.530000000000000000e+02,1.216454919606330805e+02
5.540000000000000000e+02,1.213202020507989829e+02
5.550000000000000000e+02,1.199058730325102431e+02
5.560000000000000000e+02,1.199595352486932569e+02
5.570000000000000000e+02,1.203077219524216588e+02
5.580000000000000000e+02,1.200635507985047923e+02
6.310000000000000000e+02,1.079011549139875825e+02
6.320000000000000000e+02,1.086608877222945893e+02
6.330000000000000000e+02,1.073620950814974719e+02
6.340000000000000000e+02,1.090774951479492643e+02
6.350000000000000000e+02,1.079787355359352148e+02
