# wavenlength / nm,    wavenumber / 10^3 cm-1,  norm. absorbance
6.520274657999999590e+02,1.533677724408522991e+01,1.440841444740955865e-03
6.510043944999999894e+02,1.536087941108360688e+01,-1.507775642794959448e-03
6.499809569999999894e+02,1.538506611971402904e+01,1.245208695688295201e-03
6.489572143999999980e+02,1.540933636009517649e+01,-1.588933718989425778e-03
6.479331664999999703e+02,1.543369056721994426e+01,-1.106668116554484485e-03
6.470551758000000291e+02,1.545463257849115202e+01,5.930327076151155471e-04
6.460305786000000126e+02,1.547914345118276103e+01,5.730030327333356707e-04
6.450056763000000046e+02,1.550373952887335349e+01,-4.392726217305624459e-03
6.439804688000000397e+02,1.552842125574725074e+01,-4.343876760861752713e-04
6.429549561000000040e+02,1.555318907666166339e+01,2.232164409917493202e-03
6.419290770999999722e+02,1.557804492230875582e+01,-4.040773535354108266e-04
6.410495604999999841e+02,1.559941791739205286e+01,-1.863516343161461444e-03
6.400231933999999683e+02,1.562443377540261658e+01,-2.358685544231347176e-03
6.389965210000000297e+02,1.564953747220792657e+01,-1.383252827272650086e-03
6.379695434999999861e+02,1.567472946300609848e+01,-2.531775013288281063e-03
6.369422607000000198e+02,1.570001021601234825e+01,-1.524174416787290763e-03
6.360614623999999822e+02,1.572175110604531412e+01,-8.289372041498961749e-04
6.350336303999999927e+02,1.574719750464415746e+01,9.702936508417091960e-04
6.340054932000000463e+02,1.577273400192047426e+01,-1.476645882202511952e-03
6.329769896999999901e+02,1.579836259883555627e+01,-3.659811280649429596e-04
6.319482421999999815e+02,1.582408072722383530e+01,2.338232331629947879e-03
6.310662231000000020e+02,1.584619748919025994e+01,1.241034849487170511e-03
6.300369263000000046e+02,1.587208555969364632e+01,4.381189395938416345e-03
6.290073853000000099e+02,1.589806452786016244e+01,4.085846271248834774e-03
6.279774780000000192e+02,1.592413796725366026e+01,3.387201237942462882e-03
6.269472656000000370e+02,1.595030483214535799e+01,2.544257584240688236e-03
6.260640259000000469e+02,1.597280723105671640e+01,4.135996493684136396e-03
6.250332641999999623e+02,1.599914848180011440e+01,6.161559088995470328e-03
6.240022582999999941e+02,1.602558302792603939e+01,9.383988536717256801e-03
6.229709473000000344e+02,1.605211293293965724e+01,5.632910218201037621e-03
6.219392699999999650e+02,1.607874029244045033e+01,7.986816767882326182e-03
6.210548095999999987e+02,1.610163844708111469e+01,7.835843581568666810e-03
6.200226440000000139e+02,1.612844320569685408e+01,6.069538776584914620e-03
6.189901733000000377e+02,1.615534532105309395e+01,9.273133613166555100e-03
6.179574585000000297e+02,1.618234372358497808e+01,1.051042774413325429e-02
6.170719603999999663e+02,1.620556538254918166e+01,1.158444242478183332e-02
6.160386962999999696e+02,1.623274651423873749e+01,1.140640727803294424e-02
6.150051270000000159e+02,1.626002704852247405e+01,1.410871365489774210e-02
6.139712524000000258e+02,1.628740753074385950e+01,1.874387252770202267e-02
6.129370728000000099e+02,1.631488849959476539e+01,2.398199567656651016e-02
6.120504150000000436e+02,1.633852335513897103e+01,2.576635226232504641e-02
6.110156859999999597e+02,1.636619194748463713e+01,3.019079517325993361e-02
6.099807128999999577e+02,1.639396097043382738e+01,3.250985874033990308e-02
6.089454345999999987e+02,1.642183261718471243e+01,3.476361126128145462e-02
6.080578613000000132e+02,1.644580332967072422e+01,3.959992370646311238e-02
6.070220336999999518e+02,1.647386658939988635e+01,4.172418023492585615e-02
6.059859009000000469e+02,1.650203409872765903e+01,4.848470885599202862e-02
6.049495239000000311e+02,1.653030476911827407e+01,5.097486356793946155e-02
6.040609740999999531e+02,1.655462019359744019e+01,5.507842699261506630e-02
6.030240479000000278e+02,1.658308658638819111e+01,6.159922540499181143e-02
